"CAINC1 County personal income summary: personal income, population, per capita personal income"
"CAINC1 County personal income summary: personal income, population, per capita personal income"
County
GeoFIPS,GeoName,2007,2008,2009,2010,2011,2012,2013,2014,2015
06053,"Monterey, CA",40621,40435,40094,41004,41450,42871,44354,46375,49760
06055,"Napa, CA",47390,47212,46041,46721,48200,52826,54307,58255,62802
06057,"Nevada, CA",44042,43798,43670,45649,47203,48683,49171,51351,53107
06059,"Orange, CA",50670,49571,46192,48645,51263,54318,53541,55457,59238
06061,"Placer, CA",46918,47800,46208,47679,49606,52286,52935,55196,58511
06063,"Plumas, CA",35702,37198,37641,39409,39558,39086,40321,42887,44023
06065,"Riverside, CA",31497,31615,30615,30972,32433,32850,33595,34822,36631
06067,"Sacramento, CA",38310,39055,37892,38278,39645,40607,41559,43443,45839
06069,"San Benito, CA",36659,36718,35974,35928,36934,37874,39289,40383,44022
06071,"San Bernardino, CA",29882,29963,28955,29436,30773,31260,31887,33379,35176
06073,"San Diego, CA",44352,44776,42884,43890,46118,47707,48653,50923,53366
06075,"San Francisco, CA",74402,74712,71500,75266,79893,86572,87287,96029,103603
06077,"San Joaquin, CA",31964,32003,31955,32595,32939,33617,34771,36266,38437
06079,"San Luis Obispo, CA",39634,39504,39021,40064,42220,43668,44773,47058,49919
06081,"San Mateo, CA",75009,74407,71230,73095,78683,86408,85558,90765,99085
06083,"Santa Barbara, CA",45186,45037,43923,45155,47840,49988,49095,51453,54328
06085,"Santa Clara, CA",61760,60928,56816,60861,65675,71676,71578,77043,83758
06087,"Santa Cruz, CA",45656,46666,45308,48844,49297,51737,52270,54097,56935
06089,"Shasta, CA",32582,32669,33096,34492,34978,35505,35789,37896,40234
06091,"Sierra, CA",27705,28172,29909,31945,33655,35047,35377,37087,36501
06093,"Siskiyou, CA",30219,31663,30695,31805,33248,33570,34301,36558,39580
06095,"Solano, CA",37429,38004,37518,37655,38629,38966,40013,41183,43584
06097,"Sonoma, CA",44055,43214,41550,42814,44466,46257,47536,49848,53609
06099,"Stanislaus, CA",30799,31076,30583,31908,32858,33791,34377,36748,39001
06101,"Sutter, CA",32772,34076,34369,34431,35298,34973,36451,36669,39109
06103,"Tehama, CA",27142,26953,27719,28724,29959,31285,31580,33897,35477
06105,"Trinity, CA",25133,26170,26654,27813,27282,26803,26633,28314,29462
06107,"Tulare, CA",29074,28639,27740,30109,31641,31430,32011,34976,35549
06109,"Tuolumne, CA",31811,32424,32168,34577,35828,36579,36078,38129,40840
06111,"Ventura, CA",45736,45775,44435,45947,47869,49593,49789,51946,54244
06113,"Yolo, CA",38498,39765,39447,39972,42852,43545,44606,46794,49060
06115,"Yuba, CA",29421,30658,30832,31372,32306,32540,33425,34260,36535
08001,"Adams, CO*",30959,31998,31001,30907,32543,33882,34680,36737,38156
08003,"Alamosa, CO",27561,29061,29036,28891,30317,30407,31064,32468,34241
08005,"Arapahoe, CO",45922,45544,42227,43121,48045,49326,49270,52523,54023
08007,"Archuleta, CO",30542,32015,30502,30548,33154,33712,34832,38405,40564
08009,"Baca, CO",30653,33024,37160,38398,42708,35737,43032,37647,37807
08011,"Bent, CO",23759,23725,22212,21729,22459,23210,23371,24158,24723
08013,"Boulder, CO*",50429,52310,47097,50353,52376,54426,55937,59479,63236
08014,"Broomfield, CO*",57788,62933,57223,53906,55991,58052,54574,56823,57982
08015,"Chaffee, CO",29831,30690,30722,31098,33255,34176,35612,39132,41571
08017,"Cheyenne, CO",47210,41330,48243,54495,58239,50758,58261,52117,44306
08019,"Clear Creek, CO",45088,46985,45334,44980,47449,49010,51358,52564,55801
08021,"Conejos, CO",22203,23573,24538,24436,26533,27129,28034,29850,33563
08023,"Costilla, CO",23355,23826,25349,24839,27348,27030,28696,29692,32792
08025,"Crowley, CO",16503,17460,16627,16267,16205,17446,18191,18133,21007
08027,"Custer, CO",30833,32928,33113,31178,35594,34724,37938,41196,43685
08029,"Delta, CO",29098,29291,28425,28430,30817,31112,31283,32657,33611
08031,"Denver, CO",51386,53724,46123,47946,53572,56977,62207,68329,67464
08033,"Dolores, CO",25242,23367,25182,24883,30266,29457,30870,31872,34093
08035,"Douglas, CO",54689,56529,55378,54316,57525,61162,63221,66512,61453
08037,"Eagle, CO",60622,56729,48617,43780,46387,47569,55772,59988,65416
08039,"Elbert, CO",40282,42293,41876,39134,48248,44931,47869,50277,52158
08041,"El Paso, CO",36994,37893,37780,38310,40237,41091,40894,42763,44144
08043,"Fremont, CO",23667,25075,25327,25915,27059,27210,27967,29312,30758
08045,"Garfield, CO",43418,45065,41090,37579,40123,41956,44235,49354,54281
08047,"Gilpin, CO",42908,41390,37400,36664,36720,37428,43145,43258,46078
08049,"Grand, CO",34157,33991,31559,30939,34574,37136,42108,43212,46276
08051,"Gunnison, CO",35226,36545,35153,34101,37234,36414,38217,40855,42609
08053,"Hinsdale, CO",29125,33707,35321,35750,41757,38994,39224,42421,44733
08055,"Huerfano, CO",27404,28406,29127,29856,31342,32774,33534,35327,36816
08057,"Jackson, CO",34803,34425,35667,37634,40254,35486,40109,42497,48228
08059,"Jefferson, CO*",45780,46826,44399,45160,47237,48866,50671,53581,55942
08061,"Kiowa, CO",43500,37221,39213,43547,49708,50368,65828,55178,45552
08063,"Kit Carson, CO",30633,31865,30575,34554,35509,35122,35135,35854,34580
08065,"Lake, CO",27548,29399,27630,27192,29370,29349,30490,31998,33486
08067,"La Plata, CO",41205,44857,42169,42041,43376,45641,51194,53491,53767
08069,"Larimer, CO",37666,38301,37027,37474,39109,40767,42292,44655,46446
08071,"Las Animas, CO",28778,29675,27613,28371,30014,31000,33041,35270,34645
08073,"Lincoln, CO",25519,25099,26549,26351,27588,26770,25535,28540,27786
08075,"Logan, CO",33330,37120,33843,34317,39159,42555,44621,46398,48062
08077,"Mesa, CO",35446,38775,34819,34342,35643,36958,37438,39582,40295
08079,"Mineral, CO",33235,39050,43507,41960,50252,47267,50932,54842,56811
08081,"Moffat, CO",34864,34761,35223,33166,36096,37571,38623,39923,39672
08083,"Montezuma, CO",30576,31802,31171,30982,33253,33994,35724,39651,40524
08085,"Montrose, CO",30822,31702,30427,29832,31095,31939,32331,34370,36355
08087,"Morgan, CO",27474,29228,27673,30794,33988,35391,36044,39361,40368
08089,"Otero, CO",28126,28359,28018,28961,30144,30363,30658,32095,33585
08091,"Ouray, CO",45263,43868,42292,38579,42246,43605,47406,50898,53780
08093,"Park, CO",32826,34274,33188,32490,35812,36403,37149,38480,41565
08095,"Phillips, CO",30971,33671,34580,35971,42848,40046,38101,37550,37100
08097,"Pitkin, CO",121304,119065,89420,87928,92979,109437,102184,123212,128818
08099,"Prowers, CO",28555,29630,30880,32315,33700,34785,37374,37677,39723
08101,"Pueblo, CO",28814,28571,28579,29348,30405,31102,31640,33246,34570
08103,"Rio Blanco, CO",40319,41636,38956,39505,41181,42082,43222,45501,44718
08105,"Rio Grande, CO",29399,31435,31520,31272,33824,33881,35773,37783,40709
08107,"Routt, CO",50095,52490,49065,51302,60175,61340,60393,65228,69663
