GeoFIPS,GeoName,2007,2008,2009,2010,2011,2012,2013,2014,2015
08025,"Crowley, CO",124089,109088,87297,92131,83144,106091,111775,110860,135995
08027,"Custer, CO",111390,118050,123946,121918,124485,117109,123345,127346,140458
08029,"Delta, CO",1064094,992971,915493,863159,973821,945790,934801,895376,853561
08031,"Denver, CO",59345519,57610839,55262872,55487138,56177185,57959616,61325139,64385641,68733996
08033,"Dolores, CO",28516,92435,154361,116407,105125,64299,77300,154212,184510
08035,"Douglas, CO",12944917,13382586,13406351,13612156,13648429,14755837,15102280,15895864,17037170
08037,"Eagle, CO",4218495,4036566,3400821,3208805,3162442,3124275,3463475,3554997,3787715
08039,"Elbert, CO",366941,367812,362422,358665,359326,453347,504555,499789,517193
08041,"El Paso, CO",29078729,28978743,29022434,29805499,30644515,30853531,31501613,31789289,32148703
08043,"Fremont, CO",1331451,1382136,1369707,1358133,1396992,1319139,1290079,1295935,1332719
08045,"Garfield, CO",3334088,3814441,3893696,3576208,3335133,3274596,3309728,3629005,3745862
08047,"Gilpin, CO",616437,609698,619671,727168,667123,623597,634308,592793,601430
08049,"Grand, CO",813253,842691,785749,798339,806977,827043,858782,823337,886312
08051,"Gunnison, CO",1284715,1353122,1339127,1254425,1232466,1130981,1000861,982453,979530
08053,"Hinsdale, CO",41594,50212,49485,52108,53362,34321,37818,37118,37458
08055,"Huerfano, CO",226512,263268,296512,264272,229672,175682,185474,199055,198825
08057,"Jackson, CO",68918,61663,75225,71004,71815,58554,64355,73401,88418
08059,"Jefferson, CO*",25708050,26448240,25495495,26182261,26294844,26349894,26898369,27706330,28696626
08061,"Kiowa, CO",92710,57880,72697,81389,75529,71053,93427,71756,47494
08063,"Kit Carson, CO",419365,425818,494012,511775,424837,369706,356134,334526,332882
08065,"Lake, CO",195655,217706,208426,215138,239749,263976,262594,268994,251601
08067,"La Plata, CO",3284339,3371567,3597411,3294069,3092946,2937603,3280285,3485515,3439230
08069,"Larimer, CO",13316738,13601947,13397645,13801669,13863768,14400284,15071527,15871774,16600035
08071,"Las Animas, CO",642054,705935,712942,616549,545476,513784,524684,570636,570237
08073,"Lincoln, CO",183675,175667,183567,187349,228816,267943,308606,339114,356086
08075,"Logan, CO",988849,1060816,969928,1056584,1045812,1060412,1067506,1086982,1199292
08077,"Mesa, CO",6451522,7032903,6479489,6126631,6206524,6104794,6088924,6237721,6151499
08079,"Mineral, CO",49711,56664,54823,56948,63649,46394,51950,49450,53606
08081,"Moffat, CO",1285508,1295278,1259876,1290937,1248427,1174823,1130823,1160753,1110902
08083,"Montezuma, CO",1231816,1189471,1395868,976245,1283823,1133562,967028,1226739,1636677
08085,"Montrose, CO",1540608,1575828,1546784,1437419,1452451,1404535,1395178,1413367,1460491
08087,"Morgan, CO",1330198,1330337,1181953,1357997,1345608,1366974,1390829,1450490,1518811
08089,"Otero, CO",548153,556762,534487,542217,548990,536187,557667,526030,554391
08091,"Ouray, CO",178816,183646,182676,171492,164602,160251,195113,208064,219539
08093,"Park, CO",344470,364755,372621,367365,380095,361559,351820,346860,362169
08095,"Phillips, CO",203778,202228,233613,225413,248602,220529,193866,193343,165882
08097,"Pitkin, CO",2232526,2239618,1842988,1852433,1855891,1851155,1964683,2027534,2095698
08099,"Prowers, CO",543729,536052,591960,561652,503180,511628,537690,495475,504855
08101,"Pueblo, CO",5130270,5415107,5428487,5531598,5708248,5828703,5831028,5724101,5865898
08103,"Rio Blanco, CO",664170,687773,717511,647198,615760,591974,594456,644146,634849
08105,"Rio Grande, CO",388035,401267,434871,376900,389847,346613,365373,363091,406862
08107,"Routt, CO",2072197,2162621,2048063,2101150,2105411,2118858,2015026,1972013,1828495
08109,"Saguache, CO",151935,158189,149838,144806,168312,139765,156976,152307,189087
08111,"San Juan, CO",38855,40249,41096,36365,40036,35736,45432,40141,42639
08113,"San Miguel, CO",700215,645131,576223,537147,528150,499711,544979,585616,643884
08115,"Sedgwick, CO",133043,140025,137250,129223,126406,118628,108429,108686,89055
08117,"Summit, CO",2210791,2311445,2127303,2199740,2204557,2117537,2193604,2155695,2370401
